"Status Code","Response Reference","Category","Usage Count","Endpoints Used"
"201","../../components/responses/progress/CheckInRecorded.yaml","progress","1","POST progress_check-in"
"201","../../components/responses/workoutLogs/WorkoutLogCreated.yaml","workoutLogs","1","POST workouts_log"
"201","../../components/responses/workouts/WorkoutPlanGenerated.yaml","workouts","1","POST workouts"
"202","../../components/responses/analytics/AnalyticsRefreshQueued.yaml","analytics","1","POST analytics_refresh"
"204","Inline response","workouts","1","DELETE workouts_planId"
"207","../../components/responses/mobile/MobileSyncPartialSuccess.yaml","mobile","1","POST mobile_sync"
"400","../../components/responses/analytics/AnalyticsValidationFailed.yaml","analytics","11","GET analytics_adherence; GET analytics_ai_comprehensive; GET analytics_ai_insights; GET analytics_ai_patterns; GET analytics_ai_predictions_goalType; GET analytics_ai_recommendations; GET analytics_daterange; GET analytics_overview; POST analytics_refresh; GET analytics_strength; GET analytics_trends"
"400","../../components/responses/common/ValidationFailed.yaml","auth, workouts","9","POST login; POST password-reset; POST refresh; POST resend-verification; POST reset-password; POST signup; POST update-password; POST verify-email; GET workouts"
"400","../../components/responses/dataTransfer/DataTransferValidationFailed.yaml","dataTransfer","1","POST data-transfer_export"
"400","Inline response","dataTransfer","1","POST data-transfer_import"
"400","../../components/responses/goals/GoalValidationFailed.yaml","goals","6","GET goals; POST goals; GET goals_goalId; PUT goals_goalId; POST goals_goalId_predict; GET goals_goalId_progress"
"400","../../components/responses/mobile/MobileValidationFailed.yaml","mobile","6","GET mobile_analytics; GET mobile_goals_goalId_progress; GET mobile_notifications_preferences; GET mobile_overview; GET mobile_peer-comparison; POST mobile_sync"
"400","../../components/responses/notifications/NotificationValidationFailed.yaml","notifications","1","POST notifications_preferences"
"400","../../components/responses/notifications/NotificationChannelInvalid.yaml","notifications","1","POST notifications_test"
"400","../../components/responses/nutritionMacros/MacroValidationFailed.yaml","nutritionMacros","3","POST macros; POST macros_calculate; PUT macros_planId"
"400","../../components/responses/nutritionMacros/NutritionValidationFailed.yaml","nutritionMacros","3","POST nutrition_calculate; POST nutrition_meal-log; POST nutrition_preferences"
"400","../../components/responses/profiles/ProfileValidationFailed.yaml","profiles","3","PUT preferences; POST profile; PUT profile"
